Container_ID,Name,CPU_percentage,Mem_usage,/,Mem_Limit,Mem_percentage,Net_I,/,Net_O,Block_I,/,Block_O,PIDS,Time_stamp
79c12d1fee8d,algorand-sandbox-algod,44.56%,139.1MiB,/,7.668GiB,1.77%,58.9kB,/,85.8kB,0B,/,233kB,24,1686369120.434793
44b46bdded1c,algorand-sandbox-postgres,0.09%,19.94MiB,/,7.668GiB,0.25%,15.5kB,/,8.75kB,0B,/,217kB,9,1686369120.434793
f131167c3e64,algorand-sandbox-indexer,0.34%,46.62MiB,/,7.668GiB,0.59%,27.3kB,/,30.9kB,0B,/,0B,11,1686369122.4442828
79c12d1fee8d,algorand-sandbox-algod,96.77%,172MiB,/,7.668GiB,2.19%,349kB,/,528kB,0B,/,233kB,24,1686369122.4442828
44b46bdded1c,algorand-sandbox-postgres,0.36%,19.94MiB,/,7.668GiB,0.25%,27.9kB,/,13.8kB,0B,/,217kB,9,1686369122.4442828
f131167c3e64,algorand-sandbox-indexer,0.00%,46.62MiB,/,7.668GiB,0.59%,27.3kB,/,30.9kB,0B,/,0B,11,1686369124.4588401
79c12d1fee8d,algorand-sandbox-algod,88.39%,176.9MiB,/,7.668GiB,2.25%,646kB,/,987kB,0B,/,233kB,24,1686369124.4588401
44b46bdded1c,algorand-sandbox-postgres,0.04%,19.94MiB,/,7.668GiB,0.25%,27.9kB,/,13.8kB,0B,/,217kB,9,1686369124.4588401
f131167c3e64,algorand-sandbox-indexer,0.00%,47.81MiB,/,7.668GiB,0.61%,42.4kB,/,61.6kB,0B,/,0B,11,1686369126.4741151
79c12d1fee8d,algorand-sandbox-algod,87.74%,177.6MiB,/,7.668GiB,2.26%,946kB,/,1.47MB,0B,/,295kB,24,1686369126.4741151
44b46bdded1c,algorand-sandbox-postgres,0.03%,20.18MiB,/,7.668GiB,0.26%,58.1kB,/,18.8kB,0B,/,217kB,9,1686369126.4741151
f131167c3e64,algorand-sandbox-indexer,0.00%,47.81MiB,/,7.668GiB,0.61%,42.4kB,/,61.6kB,0B,/,0B,11,1686369128.486528
79c12d1fee8d,algorand-sandbox-algod,90.43%,178.1MiB,/,7.668GiB,2.27%,1.23MB,/,1.91MB,0B,/,295kB,24,1686369128.486528
44b46bdded1c,algorand-sandbox-postgres,0.03%,20.18MiB,/,7.668GiB,0.26%,58.1kB,/,18.8kB,0B,/,217kB,9,1686369128.486528
